Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Aristolochiaceae,Asarum,shuttleworthii,"Asarabacca, Mottled Wild Ginger",fast,"[5, 6, 7, 8, 9]",0.1,0.3,Evergreen Perennial,Evergreen,['Flies'],,May.,,Hermaphrodite,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Rich mountain woods. Acidic soils, often along creeks beneath Rhododendron maximum , deciduous or mixed deciduous-conifer forests at elevations of 400 - 1300 metres.",South-eastern N. America - West Virginia to Alabama.,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Asarum+shuttleworthii
Aristolochiaceae,Asarum,splendens,Chinese Wild Ginger,slow,"[5, 6, 7, 8, 9]",0.2,0.6,Evergreen Perennial,Evergreen,,,,,,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,Forest floors full to part shade.,Asia,3,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Asarum+splendens
Asclepiadaceae,Asclepias,incarnata,"Swamp Milkweed, Swamp Butterfly Weed, Marsh Milkweed",medium,"[3, 4, 5, 6, 7, 8]",1.2,,Perennial,,"['Bees', 'Insects', 'Lepidoptera (moths & butterflies)']",,July to August,September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Swamps, wet thickets and shores.","N. America - Quebec to Manitoba and Wyoming, south to Texas and New Mexico.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Asclepias+incarnata
Asclepiadaceae,Asclepias,syriaca,"Common Milkweed, Silkweed, Milkweed",medium,"[3, 4, 5, 6, 7, 8]",1.0,1.0,Perennial,,"['Bees', 'Insects', 'Lepidoptera (moths & butterflies)']",,July to August,August to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Thickets, roadsides, dry fields and waste places[21, 43].","Eastern N. America - New Brunswick to Saskatchewan, south to N. Carolina, Kansas and Georgia.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Asclepias+syriaca
Annonaceae,Asimina,triloba,Papaw,slow,"[5, 6, 7, 8]",4.5,4.0,Deciduous Shrub,Deciduous,,,May to June,October,Hermaphrodite,['medium'],"Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"An understorey tree of woodlands, growing in deep rich moist soils of river valleys and bottomlands, often forming dense thickets.","South-eastern N. America - New Jersey to Florida, west to Texas and Nebraska.",4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Asimina+triloba
Asparagaceae,Asparagus,officinalis,"Asparagus, Garden asparagus",,"[2, 3, 4, 5, 6, 7, 8, 9]",1.5,0.8,Perennial,,['Bees'],,August,September to October,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid, very alkaline and saline","['Mildly acid', ' neutral', 'basic', 'very acid', ' very alkaline', 'saline']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,"Fertile and sandy soils by the seashore and along river banks[9, 132].","Western Europe, including Britain, from N. Germany to S. W. France.",4,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Asparagus+officinalis
Asphodelaceae,Asphodeline,lutea,"King's Spear, Yellow Asphodel, Jacob's Rod",medium,"[6, 7, 8, 9]",1.0,1.0,Perennial,,['Insects'],,June to July,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,"Dry grassland, rocky and stony places, usually on limestone.","Mediterranean in Southern and Eastern Europe, North Africa and east to the Caucasus.",4,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Asphodeline+lutea
Asteraceae,Aster,divaricatus,White wood aster,fast,"[4, 5, 6, 7, 8]",0.9,0.9,Deciduous Perennial,Deciduous,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,Found in dry open woods as well as along wood-edges and clearings.,"Native to eastern North America. It occurs in the eastern United States, primarily in the Appalachian Mountains, also present in southeastern Canada.",2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Aster+divaricatus
Asteraceae or Compositae,Aster,novae-angliae,New England Aster,medium,"[4, 5, 6, 7, 8, 9]",1.5,1.0,Perennial,,"['Bees', 'Flies', 'Beetles', 'Lepidoptera (moths & butterflies)']",,September to October.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,,Not known,Eastern N. America. Naturalized in several areas of Britain[17].,0,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Aster+novae-angliae
Fabaceae or Leguminosae,Astragalus,canadensis,"Canadian Milkvetch, Shorttooth Canadian milkvetch, Morton's Canadian milkvetch",,"[7, 8, 9, 10]",1.0,,Perennial,,"['Bees', 'Lepidoptera (moths & butterflies)']",,July.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Shores and rich thickets. Rocky and sandy thickets in Texas.,"Central and eastern N. America - Quebec to Saskatchewan, New York, Louisiana, Nebraska and Utah.",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Astragalus+canadensis
Fabaceae or Leguminosae,Astragalus,crassicarpus,"Ground Plum, Groundplum milkvetch",,"[6, 7, 8, 9]",0.5,,Perennial,,"['Bees', 'Lepidoptera (moths & butterflies)']",,,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,Prairies and plains.,Western N. America - Eastern Rocky mountains and eastward to Nebraska.,4,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Astragalus+crassicarpus
Fabaceae or Leguminosae,Astragalus,glycyphyllos,"Milk Vetch, Licorice milkvetch",,"[3, 4, 5, 6, 7]",0.2,0.5,Perennial,,"['Bees', 'Lepidoptera (moths & butterflies)']",,July to August,August to October,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rough grassy and bushy places[13, 17].","Much of Europe, including Britain, though rare in the south, east to the Caucasus and W. Asia.",1,0,4,https://pfaf.org/user/Plant.aspx?LatinName=Astragalus+glycyphyllos
Dryopteridaceae,Athyrium,filix-femina,"Lady Fern, Common ladyfern, Subarctic ladyfern,  Asplenium ladyfern, Southern Lady Fern, Tatting Fer",medium,"[3, 4, 5, 6, 7, 8]",0.6,0.5,Deciduous Fern,Deciduous,,,,July to August,,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",Well-drained soil,,"Moist sheltered woods, hedgebanks and ravines, usually on acidic soils but also found in drier and more open habitats.","Throughout the N. Temperate zone, including Britain, to the mountains of India, tropical S. America.",1,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Athyrium+filix-femina
Chenopodiaceae,Atriplex,halimus,"Sea Orach, Saltbush",medium,"[7, 8, 9, 10]",2.0,3.0,Evergreen Shrub,Evergreen,['Wind'],,July.,,Monoecious,"['light', 'medium']","Mildly acid, neutral and basic soils and can grow in very alkaline and saline","['Mildly acid', ' neutral', 'basic', 'very alkaline', 'saline']",Well-drained soil,Drought,"Coastal sands by the sea[1, 100]. Saltmarshes.",S. Europe. Occasionally naturalized in Britain[200].,5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Atriplex+halimus
Asteraceae or Compositae,Balsamorhiza,sagittata,"Oregon Sunflower, Arrowleaf balsamroot",,"[4, 5, 6, 7, 8]",0.3,,Perennial,,['Insects'],,July.,,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Open hillsides and flat land up to moderate elevations, especially on deep soils.","Western N. America - South Dakota to British Columbia, south to California and Colorado.",4,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Balsamorhiza+sagittata
Fabaceae or Leguminosae,Baptisia,australis,"Wild Indigo, Blue wild indigo, Blue False Indigo",slow,"[3, 4, 5, 6, 7, 8, 9]",1.5,0.6,Perennial,,,May to October,July to August,August to September,Hermaphrodite,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Rich woods and alluvial thickets, often on river banks.","Eastern and Central N. America - Pennsylvania to Georgia, west to Texas, Nebraska and Indiana.",0,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Baptisia+australis
Fabaceae or Leguminosae,Baptisia,tinctoria,"Wild Indigo, Horseflyweed",,"[4, 5, 6, 7, 8]",0.9,0.5,Perennial,,,April to October,July to August,August to October,Hermaphrodite,"['light', 'medium']",Mildly acid and neutral,"['Mildly acid', 'neutral']",Well-drained soil. suitable ph: mildly acid,,"Dry soils in open woods and clearings[21, 43].",Eastern N. America - Virginia to Florida.,1,3,2,https://pfaf.org/user/Plant.aspx?LatinName=Baptisia+tinctoria
Asteraceae or Compositae,Bellis,perennis,"Daisy, Lawndaisy, English Daisy",medium,"[4, 5, 6, 7, 8]",0.2,0.2,Evergreen Perennial,Evergreen,"['Bees', 'Flies', 'Beetles']",,,May to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"A common plant of meadows, lawns and other grassy areas, it is very frequently found growing in lawns.","Most of Europe, including Britain, to W. Asia.",2,3,1,https://pfaf.org/user/Plant.aspx?LatinName=Bellis+perennis
Berberidaceae,Berberis,canadensis,"Allegheny Barberry, American barberry",medium,"[4, 5, 6, 7, 8]",1.8,,Deciduous Shrub,Deciduous,['Insects'],,May,August,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Banks of streams and dry woods[11, 43]. In woods or glades, on rocky slopes and near rivers at elevations of 100 - 700 metres.","Eastern N. America - Virginia to Georgia, Alberta and Indiana.",3,2,1,https://pfaf.org/user/Plant.aspx?LatinName=Berberis+canadensis
Chenopodiaceae,Beta,vulgaris maritima,Sea Beet,,"[4, 5, 6, 7, 8]",1.2,,Annual/Perennial,,['Wind'],,July to September.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline and saline","['Mildly acid', ' neutral', 'basic', 'very alkaline', 'saline']","Well-drained soil. suitable ph: mildly acid, neutral",,Banks and shingle by the coast.,"Coastal areas of Europe, including Britain, south and east to N. Africa and Asia to the East Indies.",2,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Beta+vulgaris maritima
Betulaceae,Betula,lenta,"Cherry Birch,  Sweet birch, Black Birch, Cherry Birch",fast,"[3, 4, 5, 6, 7]",24.0,,Deciduous Tree,Deciduous,['Wind'],,April,October,Monoecious,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",Well-drained soil,,"Rich woodlands, preferring north-facing slopes and moist soils[43, 62]. It is also found on rocky soils.","Eastern N. America - Quebec to Georgia, west to Alberta and Ohio.",3,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Betula+lenta
Lamiaceae,Blephilia,ciliata,Downy wood mint,fast,"[4, 5, 6, 7]",0.7,0.4,Perennial,,"['Bees', 'Insects']",,,,,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,Drought,"Indigenous to dry open woods, prairies, savannas, limestone bluffs, glades, barrens, clearings, fields, steep slopes, disturbed sites and roadsides.  Plants often occur in thin soils over limestone.",Eastern North American and through parts of the Central United States. Plants occur from Canada south to Georgia and west to Oklahoma.,3,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Blephilia+ciliata
Lamiaceae,Blephilia,hirsuta,Hairy wood-mint or hairy pagoda plant,medium,"[4, 5, 6, 7]",0.7,0.4,Perennial,,"['Bees', 'Insects']",,,,,"['light', 'medium']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil. suitable ph: mildly acid,,"Occurs in rich, moist, shady woods, slopes and valleys. Habitats include mesic deciduous woodlands, areas along
woodland paths, woodland borders, woodland openings, limestone glades, and thickets.",Eastern and northcentral United States,2,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Blephilia+hirsuta
Boraginaceae,Borago,officinalis,"Borage, Common borage,Cool-tankard, Tailwort",medium,"[6, 7, 8, 9]",0.6,0.3,Annual,,['Bees'],,June to October,July to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,Drought,Waste ground near houses in Britain.,C. Europe. A garden escape in Britain[17].,3,3,3,https://pfaf.org/user/Plant.aspx?LatinName=Borago+officinalis
Brassicaceae or Cruciferae,Brassica,oleracea,"Wild Cabbage,  Broccoli,  Tronchuda cabbage,  Brussels sprouts,  Kohlrabi, Sprouting broccoli",,"[6, 7, 8, 9]",1.2,,Biennial/Perennial,,['Bees'],,May to August,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",Maritime exposure,A rare plant of sea cliffs.,Coastal regions of the Mediterranean and W. Europe north to France and Britain.,4,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Brassica+oleracea
Brassicaceae or Cruciferae,Bunias,orientalis,"Turkish Rocket, Turkish wartycabbage",,"[6, 7, 8, 9]",0.9,0.5,Perennial,,"['Bees', 'Flies']",,May to August,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"A weed of cultivated and waste ground[50, 200].","N. America. Europe - Caucasus, S. Russia. Naturalized in Britain[17].",4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Bunias+orientalis
Apiaceae or Umbelliferae,Bunium,bulbocastanum,"Pig Nut, Earth-nut",,"[4, 5, 6, 7, 8]",0.6,0.3,Perennial,,['Insects'],,June to July,July to August,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']","Well-drained soil. suitable ph: mildly acid, neutral",,Rough grassland and banks on chalk.,"Western and Southern Europe, including Britain, from the Netherlands to Italy.",4,1,0,https://pfaf.org/user/Plant.aspx?LatinName=Bunium+bulbocastanum
Lamiaceae or Labiatae,Calamintha,nepeta,Lesser Calamint,,"[5, 6, 7, 8, 9]",0.6,0.8,Perennial,,"['Bees', 'Insects']",,July to September,September to October,Hermaphrodite,"['light', 'medium']",Neutral and basic soils and can grow in very alkaline,"['Neutral', 'basic', 'very alkaline']",Well-drained soil. suitable ph: neutral,,"Dry banks, usually on calcareous soils.","Europe, including Britain, south from France and S. Russia to N. Africa and to Iran in W. Asia.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Calamintha+nepeta
Malvaceae,Callirhoe,involucrata,"Poppy Mallow,  Purple poppymallow, Winecup, Finger Poppy Mallow",medium,"[4, 5, 6, 7, 8]",0.2,0.5,Perennial,,,,July to August,August to September,Hermaphrodite,['light'],"Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Drought,"Grows in dry soils on the plains[43, 235]. Sandy, eroding dry ground and roadsides in Texas.","Central N. America - Minnesota and Iowa to Texas, Utah and New Mexico.",3,2,0,https://pfaf.org/user/Plant.aspx?LatinName=Callirhoe+involucrata
Calycanthaceae,Calycanthus,floridus,"Carolina Allspice,  Eastern sweetshrub, Strawberry Bush, Sweetshrub, Carolina Allspice",medium,"[5, 6, 7, 8, 9, 10]",2.7,2.0,Deciduous Shrub,Deciduous,['Insects'],,June to July,October to November,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Rich low shady woodlands[4, 43]. Deciduous or mixed woodlands, along streams and rivers, margins of woodlands from sea level to1850 metres.","South-eastern N. America - Virginia to Florida, west to Alberta and West Virginia.",3,2,2,https://pfaf.org/user/Plant.aspx?LatinName=Calycanthus+floridus
Asparagaceae,Camassia,cusickii,Cussick's camas,medium,"[3, 4, 5, 6, 7, 8, 9, 10, 11]",0.9,0.6,Bulb,,,,,,,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Damp meadows at subalpine and alpine elevations (4,000–6,000 feet (1,200–1,800 m) and tolerates pond edges, rich soils, and bloom well in either sun or shade.",A Pacific Northwest U.S. native that’s been cultivated commercially in the Netherlands.,2,0,3,https://pfaf.org/user/Plant.aspx?LatinName=Camassia+cusickii
Hyacinthaceae,Camassia,leichtlinii,"Wild Hyacinth,  Large camas, Suksdorf's large camas",,"[3, 4, 5, 6, 7]",1.0,0.2,Bulb,,['Bees'],March to August,June to July,July,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Meadows, prairies and hillsides that are moist, at least in early spring.",Western N. America - British Columbia to S. California.,4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Camassia+leichtlinii
Hyacinthaceae,Camassia,quamash,"Quamash, Small camas, Utah small camas, Walpole's small camas",,"[3, 4, 5, 6, 7]",0.3,0.2,Bulb,,['Bees'],,May to June,July to August,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Coastal mountain forests and wet meadows inland[60, 62]. Marshy meadows in coniferous forest, to 2300 metres.","Western N. America - Washington to California, east to Montana and Utah.",5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Camassia+quamash
